Waterpoint,zebra,wildebeest,oryx,eland,elephant,impala,rhino,giraffe,kudu,springbok,time_range_days,RAI_zebra,RAI_wildebeest,RAI_oryx,RAI_eland,RAI_elephant,RAI_impala,RAI_rhino,RAI_giraffe,RAI_kudu,RAI_springbok,Woody.fraction,Herbaceous.fraction,Bare.fraction,Site,Area..ha.,Week,Grazing_units_absolute,Browsing_units_absolute,Grazing_percentage_zebra,Browsing_percentage_zebra,Grazing_percentage_wildebeest,Browsing_percentage_wildebeest,Grazing_percentage_oryx,Browsing_percentage_oryx,Grazing_percentage_eland,Browsing_percentage_eland,Grazing_percentage_elephant,Browsing_percentage_elephant,Grazing_percentage_impala,Browsing_percentage_impala,Grazing_percentage_rhino,Browsing_percentage_rhino,Grazing_percentage_giraffe,Browsing_percentage_giraffe,Grazing_percentage_kudu,Browsing_percentage_kudu,Grazing_percentage_springbok,Browsing_percentage_springbok,Grazing_units_per_1000ha,Browsing_units_per_1000ha
B2,6,2,11,12,8,32,32,15,10,0,9.995138889,0.600291809,0.20009727,1.100534982,1.200583617,0.800389078,3.201556312,3.201556312,1.500729521,1.000486348,0,0.6990765,0.2138661,0.087057345,B2,1237.187186,13,6.217022164,29.56837351,11.87640812,0.223320025,2.800128748,0.108276376,14.69262954,1.265480138,19.3112327,4.953644177,35.27518506,30.01962509,7.209526874,2.38208026,6.179594463,39.08777154,0.724171226,19.08371117,1.931123271,2.876091224,0,0,23.49660157,34.18749808
B10,13,1,1,1,3,55,9,11,4,0,9.941712963,1.30762174,0.100586288,0.100586288,0.100586288,0.301758863,5.532245822,0.905276589,1.106449164,0.402345151,0,0.42945632,0.3802739,0.19026981,B10,1033.385621,3,3.671399501,12.6507374,43.80821917,1.136996104,2.383561651,0.127216348,2.273972609,0.270334739,2.739726035,0.970024651,22.52054794,26.45304922,21.0958904,9.620736265,2.958904108,25.83286952,0.904109588,32.88542577,1.315068494,2.703347382,0,0,9.342706625,28.5058784
B1,53,9,1,4,5,11,8,5,7,0,9.936018519,5.334128545,0.905795413,0.100643935,0.402575739,0.503219674,1.107083283,0.805151478,0.503219674,0.704507544,0,0.6375721,0.23959127,0.12283663,B1,3170.345282,3,9.565199564,12.47884147,68.59217172,4.701992097,8.238636361,1.161383982,0.8733165,0.274215663,4.208754206,3.935801273,14.41498316,44.7213485,1.620370371,1.951770305,1.01010101,23.29220097,0.157828283,15.16251311,0.883838384,4.798774098,0,0,12.59263113,6.173598756
B4,37,18,6,7,4,136,8,1,45,1,9.935185185,3.724137931,1.811742777,0.603914259,0.704566636,0.402609506,13.68872321,0.805219012,0.100652377,4.529356943,0.100652377,0.6316539,0.2673118,0.101034164,B4,5438.99848,3,11.02646785,16.40130476,41.54267458,2.49769868,14.29484254,1.767413316,4.545869465,1.251917766,6.389776361,5.240871435,10.00456412,27.22307456,17.3801917,18.36146057,0.876312186,17.72322798,0.027384756,2.307456286,4.929256047,23.47345811,0.009128252,0.153421296,7.58401787,4.773976524
B2,17,1,3,1,5,25,5,11,17,0,9.922766204,1.713231941,0.100778349,0.302335048,0.100778349,0.503891747,2.519458736,0.503891747,1.108561844,1.713231941,0,0.6990765,0.2138661,0.087057345,B2,1237.187186,3,4.579368198,14.01625284,46.01672538,1.3445499,1.914612668,0.115041702,5.479753516,0.733390854,2.200704216,0.877192979,30.14964788,39.86914005,7.70246479,3.954558528,1.320422535,12.97814207,0.726232395,29.73828014,4.489436622,10.38970377,0,0,17.30725533,16.2058497
B3,6,1,4,4,4,36,12,12,7,0,9.920289352,0.604821068,0.100803511,0.403214045,0.403214045,0.403214045,3.628926408,1.209642136,1.209642136,0.705624579,0,0.5095692,0.35029477,0.14013608,B3,1480.765,3,3.448488121,15.49652379,21.57263959,0.42932414,2.543116041,0.104078579,9.704764686,0.884667924,11.69248757,3.174396668,32.03741595,28.8557861,14.73253435,5.151889678,4.20929553,28.17927536,1.052323882,29.35015938,2.455422391,3.870422168,0,0,6.648274465,20.53737706
B4,74,38,46,16,3,234,33,24,40,4,9.902152778,7.473122427,3.837549354,4.645454482,1.615810255,0.302964423,23.63122497,3.33260865,2.423715382,4.039525636,0.403952564,0.6316539,0.2673118,0.101034164,B4,5438.99848,5,23.10204711,38.22401134,39.78842455,2.150594452,14.45182724,1.606340819,16.68998077,4.132100396,6.994229762,5.157199473,3.593285543,8.789960377,14.32068543,13.6010568,1.731071866,31.47424042,0.314740339,23.84147952,2.098268928,8.982826947,0.017485574,0.264200793,15.88961584,11.12597659
B11,1,7,1,1,6,10,15,7,1,0,9.657106481,0.103550686,0.724854801,0.103550686,0.103550686,0.621304115,1.035506859,1.553260289,0.724854801,0.103550686,0,0.4955634,0.39133173,0.11310486,B11,939.6447252,5,3.015395972,15.82772234,4.223901104,0.07196598,20.91346154,0.732744521,2.850274729,0.222440301,3.434065939,0.79816814,56.45604394,43.53287535,4.807692309,1.439319595,6.181318685,35.42688913,0.721153846,17.21949623,0.412087913,0.556100753,0,0,8.200410772,33.99034079
B8,4,2,25,2,11,99,21,23,15,0,9.617314815,0.415916509,0.207958254,2.599478179,0.207958254,1.143770399,10.29393359,2.18356167,2.391519925,1.559686907,0,0.51847047,0.38638505,0.095144555,B8,1764.235705,5,8.154043152,34.36614132,6.273909722,0.133127591,2.218821726,0.096820066,26.46008671,2.571783002,2.5503698,0.738253002,38.43407295,36.90962453,17.67406274,6.58981574,3.213465952,22.93727875,0.879877582,26.16562283,2.295332823,3.857674502,0,0,11.96178753,37.57077371
B6,4,3,24,30,7,7,16,13,29,0,9.303611111,0.429940585,0.322455438,2.579643508,3.224554384,0.752396023,0.752396023,1.719762338,1.3973069,3.117069238,0,0.50493085,0.37326506,0.121804066,B6,1831.570135,23,8.964261189,27.53124533,5.899280581,0.171781057,3.129496399,0.187397517,23.88489209,3.18575779,35.97122302,14.28906067,22.99760192,30.30764426,1.175059952,0.6012337,2.302158273,22.55016787,0.467625899,19.08331382,4.17266187,9.62364332,0,0,13.11214096,29.76942164
B7,0,2,3,14,9,93,2,1,2,0,9.237002315,0,0.216520461,0.324780692,1.515643227,0.974342075,10.06820144,0.216520461,0.108260231,0.216520461,0,0.64781314,0.19702637,0.15516056,B7,2105.926546,4,6.108042207,16.3873511,0,0,3.08401276,0.211402524,4.413328612,0.673845545,24.81389577,11.28360969,43.707905,65.93776838,23.07692308,13.51654885,0.42538107,4.769769437,0.053172634,2.483979663,0.42538107,1.123075906,0,0,14.72090311,12.01201281
B6,0,0,2,2,9,9,11,1,3,0,9.218298611,0,0,0.216959776,0.216959776,0.976318991,0.976318991,1.193278767,0.108479888,0.325439664,0,0.50493085,0.37326506,0.121804066,B6,1831.570135,4,3.394335693,16.37286948,0,0,0,0,5.305209337,0.450539986,6.391818478,1.616643479,78.81112175,66.12999403,4.026845637,1.311866428,4.218600192,26.31021003,0.095877277,2.491221098,1.150527326,1.689524947,0,0,4.964938786,17.70391601
B8,5,5,24,1,11,126,16,10,7,0,9.2165625,0.542501611,0.542501611,2.604007731,0.108500322,1.193503543,13.67104059,1.736005154,1.085003221,0.759502255,0,0.51847047,0.38638505,0.095144555,B8,1764.235705,4,8.925236498,28.39995931,7.476294681,0.210124164,5.288110872,0.305635148,24.2159008,3.117478511,1.215657669,0.4660936,36.63992219,46.60553963,21.44420132,10.59025788,2.334062728,22.06685769,0.364697301,14.36485196,1.021152444,2.273161414,0,0,13.09310984,31.04824701
B11,6,4,9,0,5,14,2,5,8,0,9.181747685,0.653470364,0.435646909,0.980205546,0,0.544558636,1.524764182,0.217823455,0.544558636,0.871293818,0,0.4955634,0.39133173,0.11310486,B11,939.6447252,4,3.848940442,10.42394141,20.8828523,0.689583116,9.84719864,0.668686658,21.13752123,3.197158085,0,0,38.76627049,57.93542993,5.546123374,3.218054541,0.679117149,7.543621375,0.424448217,19.64267056,2.71646859,7.104795738,0,0,10.46724641,22.38561642
B8,2,2,6,1,4,37,9,3,9,0,9.146435185,0.218664426,0.218664426,0.655993278,0.109332213,0.437328852,4.045291882,0.983989917,0.327996639,0.983989917,0,0.51847047,0.38638505,0.095144555,B8,1764.235705,3,3.123621326,11.77726598,8.610430521,0.204233197,6.090304515,0.297066469,17.43087154,1.893798737,3.500175009,1.132565912,38.36191809,41.18083921,18.13090655,7.556628297,3.780189009,30.16152989,0.315015751,10.47159302,3.780189009,7.101745265,0,0,4.582278253,12.87549251
B6,2,0,1,3,6,2,15,2,4,0,9.13212963,0.219006966,0,0.109503483,0.328510448,0.657020897,0.219006966,1.642552242,0.219006966,0.438013931,0,0.50493085,0.37326506,0.121804066,B6,1831.570135,3,2.77591329,14.9220396,9.704142027,0.161444192,0,0,3.274161741,0.24950466,11.83431951,2.685844276,64.85207101,48.82952961,1.104536491,0.322888384,7.100591714,39.73728626,0.236686391,5.518456015,1.893491123,2.495046597,0,0,4.060364327,16.13513967
B7,4,6,3,21,6,185,5,3,8,0,9.128310185,0.438197204,0.657295806,0.328647903,2.300535321,0.657295806,20.26662068,0.547746505,0.328647903,0.876394408,0,0.64781314,0.19702637,0.15516056,B7,2105.926546,3,8.503216743,18.77784568,6.338572533,0.256694475,6.725070859,0.560060673,3.207936099,0.595064465,27.05488276,14.94661922,21.18010822,38.81920542,33.36768873,23.74423895,0.77299665,10.53030745,0.115949498,6.580712911,1.236794641,3.967096436,0,0,20.4934782,13.76425766
B11,2,1,1,1,1,13,8,13,6,0,9.126979167,0.219130554,0.109565277,0.109565277,0.109565277,0.109565277,1.4243486,0.876522216,1.4243486,0.657391662,0,0.4955634,0.39133173,0.11310486,B11,939.6447252,3,1.291774616,10.8195711,20.86513995,0.22278481,7.379134861,0.162025317,7.039864293,0.344303798,8.481764208,1.235443038,23.24003393,11.23037975,15.43681085,2.896202531,8.14249364,29.24556963,3.307888039,49.49873416,6.10687023,5.164556964,0,0,3.512998813,23.23523884
